,name,max_score,dx,dy,dz,atlas_rig_dist_man,atlas_rig_dist_det,atlas_rig_score,atlas_aff_dist_man,atlas_aff_dist_det,atlas_aff_score,atlas_det_dist_man,atlas_det_dist_det,atlas_det_score
30,SNR_R,2.3988265317517756,838.5,838.5,600.0,233.98797097115002,562.2975096667209,0.0,395.84910560088025,380.2062400439835,0.595983652521932,233.98797097115002,562.2975096667209,0.0
31,Sp5C_L,3.1868282991037615,916.5,916.5,600.0,503.869343312805,2950.355033350054,0.0,479.8451888497832,2808.3638482491797,0.0,503.869343312805,2950.355033350054,0.0
32,Sp5C_R,2.991994344555619,916.5,916.5,600.0,830.6185512980289,378.5781454154908,0.0,622.9203420955972,488.9009218590434,0.0,830.6185512980289,378.5781454154908,0.0
33,Sp5I_L,2.397239007004671,828.75,828.75,600.0,589.9694454248832,1082.214538256641,0.0,421.10521624576955,1121.9308902279583,0.0,589.9694454248832,1082.214538256641,0.0
34,Sp5I_R,3.3407070576938613,828.75,828.75,600.0,725.2532388731078,152.68099919350112,1.3144078850465113,776.3317042522842,309.3199375017642,-0.1375563217671711,725.2532388731078,152.68099919350112,1.3144078850465113
35,Tz_L,3.2499063156294636,594.75,594.75,600.0,352.81610588909143,1099.6199722330803,0.0,392.4388411880619,991.5203446272175,0.0,352.81610588909143,1099.6199722330803,0.0
36,Tz_R,2.5626067951977074,594.75,594.75,600.0,326.2237745603532,1306.8844597418145,0.0,380.14002693364824,1186.222964132917,0.0,326.2237745603532,1306.8844597418145,0.0
37,VCA_L,3.316394204027221,789.75,789.75,600.0,136.09539639733896,168.8667072517244,1.0668221349078668,139.7361656925374,267.0173082588654,-0.2473524762151615,136.09539639733896,168.8667072517244,1.0668221349078668
38,VCA_R,3.988726126280307,789.75,789.75,600.0,293.78788081663475,1283.9553651794945,0.0,344.9401006123046,1393.815812236409,0.0,293.78788081663475,1283.9553651794945,0.0
39,VCP_L,2.8490457955571564,594.75,594.75,600.0,400.2160025365727,1072.2852387865535,0.0,290.40428103875286,965.7733128031729,0.0,400.2160025365727,1072.2852387865535,0.0
40,VCP_R,3.370396676568127,594.75,594.75,600.0,120.57148644553322,1017.9683967023504,0.0,238.56001170558477,1100.46868202426,0.0,120.57148644553322,1017.9683967023504,0.0
41,VLL_L,2.945310918393975,770.25,770.25,600.0,672.9629447211154,313.0645321433714,-0.4709606769663529,868.0073188997586,435.04679734281376,0.0,672.9629447211154,313.0645321433714,-0.4709606769663529
42,VLL_R,2.7259316548028396,770.25,770.25,600.0,699.4064544611083,606.1969622322164,0.0,838.6940659462192,747.8734639106814,0.0,699.4064544611083,606.1969622322164,0.0
